model,train_time,inference_time,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,White,Black,Asian,Indian,Others
vit_b_16_0,0:21:27.104075,0:00:09.336307,1.1915711847635415,1.2179639339447021,1.2254987955093384,0.5374510394697198,0.5247469066366705,51.81278735399246,0.7243675,0.5383481,0.45454547,0.25689656,0.0
vit_b_16_1,2:03:02.590521,0:00:19.819405,0.9654223510852227,1.0833561292716436,1.077580145427159,0.6420006025911419,0.608830146231721,60.123928104128154,0.9221039,0.41445428,0.4431818,0.41034484,0.0
vit_b_16_2,0:48:35.311664,0:00:19.470767,1.1672297743650584,1.1729092810835158,1.1725740688187736,0.549322084965351,0.5452755905511811,54.46898192167282,0.85619175,0.3761062,0.4375,0.2862069,0.0
vit_b_16_4,0:48:31.165370,0:00:19.296110,1.214915775335752,1.175956095967974,1.1874950187546867,0.5286532087978306,0.5404949381327334,54.21786585024425,0.89747006,0.63274336,0.25378788,0.031034483,0.0
vit_b_16_3,0:48:33.890893,0:00:19.418758,1.3717502878262446,1.3516379254204887,1.3557120178427016,0.4597167821633022,0.47890888638920137,47.24601081439427,0.8455393,0.53244835,0.077651516,0.015517241,0.0
vit_b_16_5,0:48:34.751550,0:00:19.472139,1.1860774168601402,1.1554367755140578,1.1699895433017187,0.5374510394697198,0.5435883014623172,54.9582302570343,0.84021306,0.52064896,0.35227272,0.26551723,0.0
vit_b_32_0,0:12:37.250775,0:00:06.141896,1.0938315400710472,1.0757574077163423,1.0867223697049277,0.588972582103043,0.594206974128234,59.5564997621945,0.75432754,0.53687316,0.6401515,0.4827586,0.014869888
vit_b_32_1,0:31:34.955632,0:00:06.069751,0.8450162392396193,0.9599723368883133,0.9728493733065469,0.6937631816812293,0.6611361079865017,64.97137993574142,0.90945405,0.600295,0.530303,0.44310346,0.007434944
vit_b_32_2,0:12:37.432665,0:00:05.994107,1.0328460537470303,1.0623658618756704,1.0667974927595683,0.6143416691774631,0.5989876265466817,59.8449102469853,0.770972,0.43657818,0.6685606,0.55172414,0.003717472
vit_b_32_3,0:26:13.185926,0:00:15.232110,1.370430552959442,1.3607377069337028,1.3905087837151118,0.4572461584814703,0.4595050618672666,43.821550054209574,0.9207723,0.19616519,0.056818184,0.018965518,0.003717472
vit_b_32_4,0:26:16.070435,0:00:13.837015,1.1874604215988747,1.1911749967506953,1.2041433709008353,0.5423320277191925,0.5483689538807649,53.66176409380777,0.8129161,0.32153392,0.54924244,0.3086207,0.0
vit_b_32_5,0:27:14.376588,0:00:14.006435,1.0686666740820958,1.04818023954119,1.0559068811791283,0.6010244049412473,0.6107986501687289,59.83551761933735,0.7816245,0.60914457,0.44886363,0.5258621,0.0
vit_l_32_0,0:39:23.872567,0:00:16.602233,1.1901831333453838,1.1658856804881776,1.1747237358774458,0.5396806266947876,0.5508998875140607,54.71650681325367,0.8122503,0.47492626,0.44886363,0.2862069,0.0
vit_l_32_2,0:38:54.445085,0:00:16.147919,1.1246875707919781,1.1065158226660319,1.1031866265194756,0.5697499246761073,0.5846456692913385,58.58546239989145,0.78362185,0.49852508,0.5587121,0.47413793,0.0
vit_l_32_1,1:39:32.594034,0:00:16.386014,0.8381073461129115,0.9092539591448647,0.8940605287040982,0.6918348900271166,0.6698537682789651,67.78393515518734,0.8101266,0.7536657,0.6963563,0.51265824,0.05645161
vit_l_32_3,0:39:50.056043,0:00:16.553084,1.3562336866672222,1.3651889945779527,1.3571639955043793,0.4636336245857186,0.4454443194600675,45.66665930407388,0.95403063,0.24633431,0.05263158,0.0,0.0
vit_l_32_4,0:39:59.660015,0:00:16.745486,1.158685799745413,1.1727930860860007,1.1679460448878152,0.5545043687857788,0.5613048368953881,55.18144454274859,0.8161226,0.59090906,0.3785425,0.23417722,0.0
vit_b_32_6,0:10:12.483595,0:00:07.004361,1.2508074833796574,1.171282906617437,1.2028867559773582,0.5084664055438385,0.5503374578177728,54.01150328772409,0.8150099,0.5045045,0.24277456,0.36006546,0.0
vit_l_32_6,0:30:06.838516,0:00:11.600576,1.2356885203948387,1.1703650908810752,1.1962081747395652,0.5226875564929195,0.5627109111361079,53.587175054209574,0.72876894,0.6036036,0.5105973,0.21931261,0.0
vit_b_16_6,0:36:54.104782,0:00:14.006002,1.2814354988244863,1.2021031635148185,1.2309567076819283,0.4990659837300392,0.5379640044994376,52.153133707387106,0.9005925,0.6186186,0.10982659,0.029459901,0.0
vit_l_32_5,0:18:45.416488,0:00:08.702363,1.0814364231549776,1.154560244509152,1.128133577959878,0.5899367279300994,0.5832395950506186,58.88685690505164,0.86999345,0.48316252,0.4453125,0.3539232,0.0
vit_l_16_0,1:09:36.830983,0:00:27.020800,1.2305891174536485,1.2991533832890647,1.270765948508467,0.5214823742090992,0.5199662542182227,52.198208229882376,0.92055154,0.6325037,0.0,0.033388983,0.0
vit_l_16_1,2:54:02.686360,0:00:26.946340,1.0083502858877182,1.0612268203071185,1.0537745601364545,0.6219945766797228,0.5984251968503937,60.031069070100784,0.86868024,0.5021962,0.265625,0.5475793,0.016666668
vit_l_16_2,1:09:36.643567,0:00:26.872739,1.2171372062884844,1.2328064910003118,1.2223473372203963,0.526785176257909,0.53037120359955,54.17923501559666,0.86342746,0.71303076,0.048828125,0.16026711,0.008333334
vit_l_16_4,1:17:46.339911,0:00:32.466684,1.2426461868561232,1.1964810671550887,1.2466884606650896,0.5175655317866827,0.5385264341957255,52.165027814252035,0.8308098,0.6651652,0.10982659,0.15220949,0.0
vit_b_16_7,1:23:39.407877,0:00:15.823280,1.0869624669735247,1.076244362762996,1.1287249773740768,0.58583910816511,0.6001124859392576,57.81360502753939,0.7136274,0.7357357,0.32947975,0.5057283,0.008264462
vit_b_16_8,0:56:28.389715,0:00:10.745468,0.9350087876503285,0.9574072531291417,1.0181513747998647,0.6562217535402229,0.6538245219347582,63.22102631841387,0.84068465,0.6591592,0.40077072,0.5319149,0.0
vit_b_32_7,1:05:49.298365,0:00:14.482702,0.8169003899280841,0.9784465389592307,0.9910649742398944,0.704248267550467,0.6588863892013498,65.64848167555672,0.8828648,0.5714286,0.67315173,0.4250412,0.053719006
vit_b_32_8,1:08:09.978923,0:00:14.282130,0.7035641553310248,0.925878603543554,0.9556910523346492,0.7479963844531485,0.6791338582677166,65.7172692673547,0.9076305,0.56142855,0.55252916,0.47775948,0.0661157
vit_b_32_9,1:08:47.718861,0:00:15.058224,1.2467735354716962,1.2472205417496818,1.2631586406912123,0.5119614341669178,0.5137795275590551,50.302223222596304,0.8842035,0.5042857,0.17898832,0.039538715,0.0
vit_l_32_7,1:16:17.834129,0:00:14.803644,0.9171915962145879,0.9143076496464866,0.963543387395995,0.6623079240735161,0.6754780652418447,65.64654793058124,0.8222515,0.7102102,0.5895954,0.5057283,0.0
vit_b_16_9,1:21:39.700671,0:00:15.975729,1.2237111871059125,1.1986568825585502,1.239682946886335,0.5222054835793913,0.5399325084364455,51.52990179402487,0.8736011,0.5690691,0.17148362,0.06382979,0.0
vit_l_32_8,1:16:07.239207,0:00:13.651277,0.7557964059022757,0.8663020900317601,0.9380539996283395,0.7263031033443809,0.703037120359955,67.27617787463325,0.8156682,0.6951952,0.60115606,0.60883796,0.02892562
vit_l_32_9,1:14:53.387498,0:00:11.877556,1.2087035169968239,1.1617490627935954,1.2030222032751356,0.5314251280506177,0.5579302587176603,53.42915696757181,0.88347596,0.5015015,0.29094413,0.12111293,0.0
vit_l_16_3,1:16:22.662763,0:00:45.775877,1.3441053087894732,1.2990114795310157,1.330743561897959,0.476167520337451,0.5078740157480315,48.4895330454622,0.90651745,0.506006,0.0,0.016366612,0.0
vit_l_16_5,1:15:44.922081,0:00:31.766682,1.2764459499946008,1.3374671382563454,1.3575388118624687,0.49948779752937633,0.49268841394825647,48.42090979218483,0.96115863,0.33783785,0.040462427,0.027823241,0.0
vit_l_16_6,1:15:41.009871,0:00:30.964735,1.3363912137655112,1.2882207419191087,1.315947106906346,0.48183187707140707,0.5081552305961755,48.512156148041996,0.8676761,0.6141141,0.0,0.0,0.0
vit_l_16_7,3:08:59.457171,0:00:31.397011,1.057239491205949,1.0664074740239553,1.1110741602522987,0.6010244049412473,0.6195163104611924,60.365890498672215,0.89400923,0.6576577,0.28709057,0.3289689,0.0
vit_l_16_8,3:08:50.959040,0:00:31.241337,0.9884176162573007,0.9685666752713067,1.0354942072715079,0.6329617354624887,0.6515748031496063,62.435901377882274,0.7939434,0.7012012,0.4238921,0.5286416,0.008264462
vit_l_16_9,2:56:37.985915,0:00:30.219470,1.2530914274545817,1.2291411661675997,1.2762507902724403,0.5109370292256704,0.5331833520809899,50.589708025966374,0.9124424,0.515015,0.08477842,0.04418985,0.0
