row,filename,learning_rate,n_epoch,weight_decay,batch_size,drop_out
0,vit_b_16_0,0.002,10,1e-4,128,0.2
1,vit_b_16_1,0.002,25,1e-4,128,0.2
2,vit_b_16_2,0.001,10,1e-4,128,0.2
3,vit_b_16_3,0.002,10,1e-5,128,0.2
4,vit_b_16_4,0.003,10,1e-4,128,0.2
5,vit_b_16_5,0.002,10,1e-4,128,0.3
6,vit_b_16_6,0.005,10,1e-4,128,0.2
7,vit_b_16_7,0.002,25,1e-4,128,0.3
8,vit_b_16_8,0.001,25,1e-4,128,0.2
9,vit_b_16_9,0.002,25,1e-5,128,0.2
10,vit_b_32_0,0.002,10,1e-4,128,0.2
11,vit_b_32_1,0.002,25,1e-4,128,0.2
12,vit_b_32_2,0.001,10,1e-4,128,0.2
13,vit_b_32_3,0.002,10,1e-5,128,0.2
14,vit_b_32_4,0.003,10,1e-4,128,0.2
15,vit_b_32_5,0.002,10,1e-4,128,0.3
16,vit_b_32_6,0.005,10,1e-4,128,0.2
17,vit_b_32_7,0.002,25,1e-4,128,0.3
18,vit_b_32_8,0.001,25,1e-4,128,0.2
19,vit_b_32_9,0.002,25,1e-5,128,0.2
20,vit_l_32_0,0.002,10,1e-4,128,0.2
21,vit_l_32_1,0.002,25,1e-4,128,0.2
22,vit_l_32_2,0.001,10,1e-4,128,0.2
23,vit_l_32_3,0.002,10,1e-5,128,0.2
24,vit_l_32_4,0.003,10,1e-4,128,0.2
25,vit_l_32_5,0.002,10,1e-4,128,0.3
26,vit_l_32_6,0.005,10,1e-4,128,0.2
27,vit_l_32_7,0.002,25,1e-4,128,0.3
28,vit_l_32_8,0.001,25,1e-4,128,0.2
29,vit_l_32_9,0.002,25,1e-5,128,0.2
30,vit_l_16_0,0.002,10,1e-4,128,0.2
31,vit_l_16_1,0.002,25,1e-4,128,0.2
32,vit_l_16_2,0.001,10,1e-4,128,0.2
33,vit_l_16_3,0.002,10,1e-5,128,0.2
34,vit_l_16_4,0.003,10,1e-4,128,0.2
35,vit_l_16_5,0.002,10,1e-4,128,0.3
36,vit_l_16_6,0.005,10,1e-4,128,0.2
37,vit_l_16_7,0.002,25,1e-4,128,0.3
38,vit_l_16_8,0.001,25,1e-4,128,0.2
39,vit_l_16_9,0.002,25,1e-5,128,0.2
40,vit_b_16_a100,0.002,10,1e-4,64,0.2
41,vit_b_32_a100,0.002,10,1e-4,64,0.2
42,vit_l_32_a100,0.002,10,1e-4,64,0.2
43,vit_l_16_a100,0.002,10,1e-4,64,0.2
44,vit_b_16_a100,0.002,25,1e-4,64,0.2
45,vit_b_32_a100,0.002,25,1e-4,64,0.2
46,vit_l_32_a100,0.002,25,1e-4,64,0.2
47,vit_l_16_a100,0.002,25,1e-4,64,0.2